Project,Tracker,Priority,Estimated time,Private,Effort,Subject_clean,N of Part
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,followup preparation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,followup preparation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,2.0,accompaniment 19,2
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,1.0,accompaniment 18,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,2.0,ebankit cmmi2 followup of ceremony,2
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,2.0,accompaniment 17,2
85.2 Ebankit - CMMI2,Task,Trivial,3.0,Yes,3.0,preparation of accompaniment,1
85.2 Ebankit - CMMI2,Task,Trivial,7.0,Yes,28.0,preparation accompaniment,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 16,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 15,4
85.2 Ebankit - CMMI2,Task,Trivial,1.0,Yes,4.0,accompaniment 14,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 13,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 12,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup 11,4
85.2 Ebankit - CMMI2,Task,Trivial,8.0,Yes,8.0,ebankit cmmi2 acompanhamento readiness review,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,4.0,ebankit cmmi2 monitoring audit,2
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,4.0,ebankit cmmi2 accompaniment ceremony scrum,2
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 10,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 9,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 8,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 7,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,ebankit cmmi2 presentation of result,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup preparation 6,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,preparation followup 5,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup preparation 4,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup preparation 3,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,preparation monitoring 2,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,accompaniment 6,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup 5,4
85.2 Ebankit - CMMI2,Task,Trivial,4.0,Yes,16.0,accompaniment 4,4
85.2 Ebankit - CMMI2,Task,Trivial,4.0,Yes,16.0,accompaniment 3,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup 2,4
85.2 Ebankit - CMMI2,Task,Trivial,2.0,Yes,8.0,followup 1,4
85.2 Ebankit - CMMI2,Task,Trivial,20.0,Yes,20.0,ebankit workshop preparação workshop,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi2 preparation workshop requirement management,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,ebankit cmmi2 preparação workshop gp,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi 2 preparar gap analysis,1
85.2 Ebankit - CMMI2,Task,Trivial,3.0,No,3.0,ebankit cmmi 2 preparing initial training,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,ebankit cmmi 2 presentation of the gap analysis report,1
85.2 Ebankit - CMMI2,Task,Trivial,3.0,No,3.0,ebankit cmmi 2 executive training,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,ebankit cmmi2 ler le,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,ebankit cmmi2 preparing training,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit gap analysis report initial,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi2 cmmi training workshop le ebankit process,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi2 preparação gap analysis,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi2 presentation of result,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,ebankit cmmi2 executive training,1
85.2 Ebankit - CMMI2,Task,Trivial,8.0,No,8.0,ebankit cmmi2 preparation training,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project closure,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,internal project closure interno,1
85.2 Ebankit - CMMI2,Task,Trivial,32.0,No,96.0,scope,3
85.2 Ebankit - CMMI2,Task,Trivial,4.5,No,13.5,scampi plan and preparation,3
85.2 Ebankit - CMMI2,Task,Trivial,12.0,No,36.0,evidence mapping,3
85.2 Ebankit - CMMI2,Task,Trivial,8.0,No,32.0,scampi c,4
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,scampi c plan and preparation,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,12.0,workshop requirement,3
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,12.0,workshop engineering,3
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,6.0,workshop quality,3
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,6.0,workshop gov ii,3
85.2 Ebankit - CMMI2,Task,Trivial,3.0,No,9.0,workshop project management,3
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,3.0,workshop estimating,3
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,financial adjudication,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,kickoff meeting,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project configuration cost center creation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project configuration dropbox project folder creation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project configuration project creation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project configuration project instance creation,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project dissemination,1
85.2 Ebankit - CMMI2,Task,Trivial,1.0,No,1.0,project planning,1
85.2 Ebankit - CMMI2,Task,Trivial,4.0,No,4.0,project configuration,1
85.2 Ebankit - CMMI2,Task,Trivial,2.0,No,2.0,team definition,1
86.1 I.Câncio - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
86.1 I.Câncio - RGPD,Task,Trivial,8.0,No,8.0,initial training,1
86.1 I.Câncio - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
86.1 I.Câncio - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
86.1 I.Câncio - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
86.1 I.Câncio - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 1,1
86.1 I.Câncio - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
86.1 I.Câncio - RGPD,Task,Trivial,0.0,No,0.0,management review,1
86.1 I.Câncio - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
86.1 I.Câncio - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
86.1 I.Câncio - RGPD,Task,Trivial,0.0,No,0.0,workshop 4 data violation and order management,1
86.1 I.Câncio - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
86.1 I.Câncio - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
86.1 I.Câncio - RGPD,Task,Trivial,0.0,No,0.0,workshop 1 data treatment process,1
86.1 I.Câncio - RGPD,Task,Trivial,4.0,No,4.0,steering meeting,1
86.1 I.Câncio - RGPD,Task,Trivial,0.0,No,0.0,project and process monitoring,1
86.1 I.Câncio - RGPD,Task,Trivial,0.0,No,0.0,process training,1
86.1 I.Câncio - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
86.1 I.Câncio - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,set up the team,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,project plan,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,kickoff meeting,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,workshop plan and preparation,1
87.1 Frotcom ITMark,Task,Trivial,16.0,No,16.0,analyze gap,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,steering meeting,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,pilot training,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,workshop,1
87.1 Frotcom ITMark,Task,Trivial,1.0,No,1.0,workshop plan and preparation,1
87.1 Frotcom ITMark,Requirement,Trivial,8.0,No,8.0,intermediate assessment,1
87.1 Frotcom ITMark,Requirement,Trivial,2.0,No,2.0,final assessment plan and preparation,1
87.1 Frotcom ITMark,Requirement,Trivial,1.0,No,1.0,intermediate assessment plan and preparation,1
87.1 Frotcom ITMark,Requirement,Trivial,12.0,No,12.0,final assessment plan and preparation,1
87.1 Frotcom ITMark,Requirement,Trivial,16.0,No,16.0,fix intermediate assessment issue,1
87.1 Frotcom ITMark,Task,Trivial,2.0,No,2.0,project closure,1
88.1 Fraunhofer - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
88.1 Fraunhofer - RGPD,Task,Trivial,4.0,No,4.0,initial training,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
88.1 Fraunhofer - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 13,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 12,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 11,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,followup meeting 10,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 9,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 8,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,Yes,2.0,monitoring meeting 7,1
88.1 Fraunhofer - RGPD,Task,Trivial,16.0,No,16.0,final evaluation,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 6,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,followup meeting 5,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 4,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
88.1 Fraunhofer - RGPD,Meeting,Trivial,26.0,No,26.0,fraunhofer rgpd accompaniment,1
88.1 Fraunhofer - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
88.1 Fraunhofer - RGPD,Task,Trivial,0.0,No,0.0,management review,1
88.1 Fraunhofer - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
88.1 Fraunhofer - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
88.1 Fraunhofer - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
88.1 Fraunhofer - RGPD,Task,Trivial,4.0,No,4.0,workshop 3 privacy policy and consent process,1
88.1 Fraunhofer - RGPD,Task,Trivial,0.0,No,0.0,workshop 2 risk treatment process,1
88.1 Fraunhofer - RGPD,Task,Trivial,4.0,No,4.0,workshop 1 data treatment process,1
88.1 Fraunhofer - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
88.1 Fraunhofer - RGPD,Task,Trivial,2.0,No,2.0,steering meeting,1
88.1 Fraunhofer - RGPD,Task,Trivial,10.0,No,10.0,project and process monitoring,1
88.1 Fraunhofer - RGPD,Task,Trivial,0.0,No,0.0,process training,1
88.1 Fraunhofer - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
88.1 Fraunhofer - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
90.1 VGMAA - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
90.1 VGMAA - RGPD,Task,Trivial,4.0,No,4.0,initial training,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
90.1 VGMAA - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,followup meeting 5,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 4,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 3,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 2,1
90.1 VGMAA - RGPD,Task,Trivial,2.0,No,2.0,monitoring meeting 1,1
90.1 VGMAA - RGPD,Task,Trivial,16.0,No,16.0,final evaluation plan,1
90.1 VGMAA - RGPD,Task,Trivial,0.0,No,0.0,management review,1
90.1 VGMAA - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
90.1 VGMAA - RGPD,Meeting,Trivial,0.0,No,0.0,workshop 5 process financial rh communication,1
90.1 VGMAA - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
90.1 VGMAA - RGPD,Task,Trivial,0.0,No,0.0,workshop 3 privacy policy and consent process,1
90.1 VGMAA - RGPD,Task,Trivial,4.0,No,4.0,workshop 2 risk treatment process,1
90.1 VGMAA - RGPD,Task,Trivial,0.0,No,0.0,workshop 1 data treatment process,1
90.1 VGMAA - RGPD,Task,Trivial,8.0,No,8.0,initial evaluation,1
90.1 VGMAA - RGPD,Task,Trivial,0.0,No,0.0,steering meeting,1
90.1 VGMAA - RGPD,Task,Trivial,8.0,No,8.0,project and process monitoring,1
90.1 VGMAA - RGPD,Task,Trivial,0.0,No,0.0,process training,1
90.1 VGMAA - RGPD,Task,Trivial,1.0,No,1.0,internal closure,1
90.1 VGMAA - RGPD,Task,Trivial,1.0,No,1.0,external closure,1
91.1 Médicos no Mundo - RGPD,Task,Trivial,1.0,No,1.0,workshop plan,1
91.1 Médicos no Mundo - RGPD,Task,Trivial,2.0,No,2.0,kickoff meeting,1
91.1 Médicos no Mundo - RGPD,Task,Trivial,2.0,No,2.0,kick off presentation,1
91.1 Médicos no Mundo - RGPD,Task,Trivial,1.0,No,1.0,project configuration,1
91.1 Médicos no Mundo - RGPD,Task,Trivial,0.0,No,0.0,final evaluation,1
91.1 Médicos no Mundo - RGPD,Meeting,Trivial,0.0,No,0.0,doctor in the world rgpd accompaniment,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso 27001 folder and project organization,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,32.0,g9 iso27001 kickoff initial diagnosis,4
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 initial diagnostic report,1
92.1 G9 - ISO 27001,Task,Trivial,0.0,No,0.0,g9 iso 27001 initial diagnostic report,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso 27001 conclusion report,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation report,1
92.1 G9 - ISO 27001,Task,Trivial,1.0,No,1.0,presentation g9 result,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso27001 conclusion report,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 shipping initial diagnostic report,1
92.1 G9 - ISO 27001,Task,Critical,8.0,No,8.0,g9 iso 27001 preparation of the report,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,result iso 27001 g9 meeting,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso27001 conclusion report,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 8 purchase and legal,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 7 physical and logical control access production facility,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 6 rh marketing,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 5 business continuity,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 4 capacity and availability management,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 3 vulnerability problem and incident management,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 2 integrated system management quality,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,Yes,12.0,workshop 1 information security risk analysis and treatment,3
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation workshop system management,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of system management workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of system management workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of workshop continuity hr capacity,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 finding registration,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of workshop continuity hr capacity,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso 27001 preparation workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso27001 workshop preparation,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso27001 preparation of workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation workshop,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 preparing presentation workshop hr,1
92.1 G9 - ISO 27001,Task,Trivial,6.0,No,6.0,g9 iso 27001 hr workshop preparation,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso 27001 hr workshop preparation,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 iso 27001 not conformity verification,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation next step check finding,1
92.1 G9 - ISO 27001,Task,Trivial,1.0,No,1.0,g9 download wiki document,1
92.1 G9 - ISO 27001,Task,Trivial,0.0,No,0.0,g9 iso 27001 preparation next step,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 iso 27001 preparation finding prioritization of finding,1
92.1 G9 - ISO 27001,Task,Trivial,5.0,No,5.0,g9 preparar template,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 preparar template,1
92.1 G9 - ISO 27001,Task,Trivial,5.0,No,5.0,g9 preparar template,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 preparar template,1
92.1 G9 - ISO 27001,Task,Trivial,8.0,No,8.0,g9 reply to finding with template,1
92.1 G9 - ISO 27001,Task,Trivial,1.0,Yes,1.0,accompaniment 13,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,Yes,2.0,accompaniment 12,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 analyze registration finding scraim,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 review document,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation of followup,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 followup,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 preparation monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 followup,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 review isoiec 27001 document,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 accompaniment isoiec 27001,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 27001 review of comment with comment,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 iso 27001 document,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso27001 verification of document,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 monitoring meeting,1
92.1 G9 - ISO 27001,Task,Trivial,6.0,No,6.0,g9 iso 27001 documentation review,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 accompaniment iso 27001,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 27001 accomprehension preparation iso 27001,1
92.1 G9 - ISO 27001,Task,Trivial,1.0,No,1.0,g9 alignment meeting,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 review and comment,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 preparation of excel monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 accompaniment iso 27001 risk,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso27001 risk management monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,3.0,No,3.0,g9 review added documentation,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 monitoring meeting,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 monitoring capacity management,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 review added documentation,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,3.0,No,3.0,g9 iso27001 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,2.0,No,2.0,g9 iso 27001 preparing monitoring day 12,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 accompanying excel,1
92.1 G9 - ISO 27001,Task,Trivial,3.0,No,3.0,g9 monitoring,1
92.1 G9 - ISO 27001,Task,Trivial,4.0,No,4.0,g9 iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,dodoc 27001 review of the gap analysis initial report,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus 27001 review task scraim,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus 27001 accompaniment 4,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus monitoring,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,new rgpd class,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,proncensus iso 27001 monitoring next action,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 risk followup preparation,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,dodoc iso 27001 workshop physical and logical control management,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 accompaniment risk,1
95.1 Procensus - ISO 27001,Task,Trivial,2.0,No,2.0,procensus iso 27001 preparing monitoring day 13,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 preparing monitoring day 13,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,6.0,No,6.0,procensus internal work,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 followup preparation,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus monitoring,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,dodoc iso 27001 terminar steering,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,strongstep processo 27001,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,3.0,No,3.0,procensus monitoring,1
95.1 Procensus - ISO 27001,Task,Trivial,1.0,No,1.0,procensus review action,1
95.1 Procensus - ISO 27001,Task,Trivial,1.0,No,1.0,procensus scraim mapping,1
95.1 Procensus - ISO 27001,Task,Trivial,2.0,No,2.0,procensus iso 27001 followup,1
95.1 Procensus - ISO 27001,Task,Trivial,2.0,No,2.0,procensus mapping in scraim,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 reply certifying entity,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 update scraim task,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 update task scraim,1
95.1 Procensus - ISO 27001,Task,Trivial,1.0,No,1.0,procensus mapping in scraim,1
95.1 Procensus - ISO 27001,Task,Trivial,3.0,No,3.0,procensus préteaering,1
95.1 Procensus - ISO 27001,Task,Trivial,2.0,No,2.0,procensus iso 27001 clarification of punctual doubt,1
95.1 Procensus - ISO 27001,Task,Trivial,6.0,No,6.0,procensus iso 27001 gap analysis alignment,1
95.1 Procensus - ISO 27001,Task,Trivial,6.0,No,6.0,procensus iso 27001 alignment gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,16.0,No,16.0,procensus iso 27001 gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus iso 27001 gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus gap analysis,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus gap analysis report,1
95.1 Procensus - ISO 27001,Task,Trivial,8.0,No,8.0,procensus iso 27001 workshop risk and workshop management change incident request,1
95.1 Procensus - ISO 27001,Task,Trivial,4.0,No,4.0,procensus iso 27001 report,1
